product_a,product_a_label,product_b,product_b_label,similarity,shared_attributes,shared_attribute_nodes
PRODUCT:5485,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,PRODUCT:5508,FRASCO GOTERO VIDRIO VERDE 50ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,PRODUCT:5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,PRODUCT:5420,FRASCO PARA RIMEL 4ML C/TAPA (12CM - 1.5CM) INYEC.,0.4974,2,TYPE:FRASCO|SUBTYPE:RIMEL
PRODUCT:5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,PRODUCT:5453,FRASCO BULLET 120ML C/TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,PRODUCT:5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,PRODUCT:5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,PRODUCT:5453,FRASCO BULLET 120ML C/TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,PRODUCT:5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,PRODUCT:5453,FRASCO BULLET 120ML C/TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,PRODUCT:5453,FRASCO BULLET 120ML C/TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,PRODUCT:5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,PRODUCT:5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,0.4974,2,TYPE:FRASCO|SUBTYPE:ATOMIZADOR
PRODUCT:5286,FRASCO PET TRANSPARENTE 250ML C/TAPA SPRAY MINI PISTOLA N24,PRODUCT:5618,FRASCO PET AMBAR 250ML C/TAPA DISPENSADORA N24,0.4973,4,TYPE:FRASCO|CAPACITY:250ML|MATERIAL:PET|MOUTH_SIZE:24MM
PRODUCT:5296,FRASCO PET NEGRO 250ML C/TAPA ESPRAY MINI PISTOLA N24,PRODUCT:5504,FRASCO BULLET 250 ML C/TAPA ATOMIZADOR B/24,0.4973,3,TYPE:FRASCO|CAPACITY:250ML|MOUTH_SIZE:24MM
PRODUCT:5286,FRASCO PET TRANSPARENTE 250ML C/TAPA SPRAY MINI PISTOLA N24,PRODUCT:5593,FRASCO PET AZUL 250ML C/TAPA DISPENSADORA N24,0.4973,4,TYPE:FRASCO|CAPACITY:250ML|MATERIAL:PET|MOUTH_SIZE:24MM
PRODUCT:5120,FRASCO PET TRANSPARENTE 60ML B/20 C/TAPA DISPENSADOR,PRODUCT:5564,FRASCO PET BLANCO 60ML C/TAPA SPRAY N20,0.4973,4,TYPE:FRASCO|CAPACITY:60ML|MATERIAL:PET|MOUTH_SIZE:20MM
PRODUCT:5253,FRASCO PET 1LT TRANSPARENTE C/SPRAY PISTOLA N28,PRODUCT:5540,FRASCO PET AMBAR 120ML B28 C/TAPA SPRAY,0.4973,4,MOUTH_SIZE:28MM|TYPE:FRASCO|SUBTYPE:ATOMIZADOR|MATERIAL:PET
PRODUCT:5310,FRASCO PET TRANSPARENTE 250ML C/TAPA PRESS N24,PRODUCT:5504,FRASCO BULLET 250 ML C/TAPA ATOMIZADOR B/24,0.4973,3,TYPE:FRASCO|CAPACITY:250ML|MOUTH_SIZE:24MM
PRODUCT:5121,FRASCO PET TRANSPARENTE 30ML B/20 TAPA DISPENSADOR GEL,PRODUCT:5553,FRASCO PET BLANCO 60ML C/TAPA DISPENSADOR N20,0.4973,4,SUBTYPE:DISPENSADOR|TYPE:FRASCO|MATERIAL:PET|MOUTH_SIZE:20MM
PRODUCT:5182,STAPA ESPRAY PLASTICO BLANCO N28 C/SOBRE TAPA ALTA,PRODUCT:5441,TAPA PLASTICA GASEOSA BLANCO,0.4973,2,TYPE:TAPA|COLOR:BLANCO
PRODUCT:5209,FRASCO PET TRANSPARENTE 120ML B/28 C/TAPA DISPENSADOR GEL,PRODUCT:5540,FRASCO PET AMBAR 120ML B28 C/TAPA SPRAY,0.4973,4,MOUTH_SIZE:28MM|TYPE:FRASCO|MATERIAL:PET|CAPACITY:120ML
PRODUCT:5119,FRASCO PET CAMPANA TRANSPARENTE 500ML B/28 TAPA ESPRAY PISTOLA..,PRODUCT:5192,FRASCO PET CAMPANA BLANCO 300ML C/TAPA DISPENSADOR N28..,0.4967,4,MOUTH_SIZE:28MM|TYPE:FRASCO|MATERIAL:PET|SUBTYPE:CAMPANA
PRODUCT:5134,POTE CREMERO VIDRIO TRANSPARENTE 50GR C/TAPA METALIZADA Y LAINA,PRODUCT:5168,POTE CREMERO VIDRIO AMBAR 100GR C/TAPA NEGRA Y LAINA,0.4967,4,MATERIAL:VIDRIO|TYPE:CREMERO|SUBTYPE:CREMERO|ACCESSORY:LAINA
PRODUCT:5118,FRASCO VIDRIO TRANSPARENTE TUBULAR 5ML CON TAPA BAQUELITA N20,PRODUCT:5329,FRASCO VIDRIO TRANSPARENTE TUBULAR 10ML C/TAPA BAQUELITA B18,0.4966,4,MATERIAL:VIDRIO|TYPE:FRASCO|COLOR:TRANSPARENTE|SHAPE:TUBULAR
PRODUCT:5117,FRASCO VIDRIO TRANSPARENTE TUBULAR 10ML CON TAPA BAQUELITA B/20,PRODUCT:5390,FRASCO TUBULAR VIDRIO TRANSPARENTE 3ML T/BAQUELITA N13,0.4966,4,MATERIAL:VIDRIO|TYPE:FRASCO|COLOR:TRANSPARENTE|SHAPE:TUBULAR
