product,product_label,rank,similar,similar_label,similarity,shared_attributes
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,8.0,PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,0.7117,5
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,9.0,PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,0.7117,5
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,10.0,PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,0.7117,5
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,1.0,PRODUCT:5588,TAPA DISPENSADORA NEGRO B28MM,0.5957,3
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,2.0,PRODUCT:5182,STAPA ESPRAY PLASTICO BLANCO N28 C/SOBRE TAPA ALTA,0.5935,3
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,3.0,PRODUCT:5441,TAPA PLASTICA GASEOSA BLANCO,0.496,2
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,4.0,PRODUCT:5338,TAPA CHUPON BLANCO B28,0.4955,3
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,5.0,PRODUCT:5414,PET JABONERA 37GR 400ML C/TAPA DISPENSADOR B28,0.4946,3
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,6.0,PRODUCT:5344,TAPA FLIT TOP B28,0.4906,2
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,7.0,PRODUCT:5275,SOLO TAPA PRESS N28.,0.4906,2
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,8.0,PRODUCT:5573,TAPA PILFER N°28,0.4906,2
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,9.0,PRODUCT:5321,BOMBA DISPENSADORA PARA GALONERA 28/410 ACANALADO COLOR BLANCO,0.4082,2
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,10.0,PRODUCT:5284,TAPON IMPORTADO B28,0.4035,2
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,1.0,PRODUCT:5533,FRASCO VIDRIO AMBAR IMPORTADO 125ML C/TAPA Y TAPON INTERNO.,1.0,5
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,2.0,PRODUCT:5063,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA negro,0.8246,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,3.0,PRODUCT:5534,FRASCO VIDRIO AMBAR IMPORTADO 250ML C/TAPA Y TAPON INTERNO.,0.6552,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,4.0,PRODUCT:5537,FRASCO VIDRIO AMBAR IMPORTADO 100ML C/TAPA Y TAPON INTERNO.,0.6552,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,5.0,PRODUCT:5535,FRASCO VIDRIO AMBAR IMPORTADO 500ML C/TAPA Y TAPON INTERNO.,0.6552,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,6.0,PRODUCT:5536,FRASCO VIDRIO AMBAR IMPORTADO 60ML C/TAPA Y TAPON INTERNO.,0.6552,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,7.0,PRODUCT:5053,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA PLASTICO ROSCA,0.5656,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,8.0,PRODUCT:5172,FRASCO VIDRIO TRANSPARENTE IMPORTADO 125ML C/TAPA Y TAPON N28,0.5639,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,9.0,PRODUCT:5165,FRASCO VIDRIO AMBAR IMPORTADO 500ML TAPA Y TAPON N28,0.5614,4
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,10.0,PRODUCT:5166,FRASCO VIDRIO AMBAR IMPORTADO 1LT B28 TAPA Y TAPON,0.5614,4
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,1.0,PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,0.5966,3
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,2.0,PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,0.5966,3
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,3.0,PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,0.5966,3
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,4.0,PRODUCT:5602,PIPETA SEREOLOGICA GRADUADA VIDRIO 2ML,0.4056,2
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,5.0,PRODUCT:5581,SOLO TAPA SPRAY MINI PISTOLA NEGRA N20,0.3996,2
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,1.0,PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,0.5966,3
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,2.0,PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,0.5966,3
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,3.0,PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,0.5966,3
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,4.0,PRODUCT:5603,PIPETA SEREOLOGICA GRADUADA VIDRIO 3ML,0.4056,2
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,5.0,PRODUCT:5581,SOLO TAPA SPRAY MINI PISTOLA NEGRA N20,0.3996,2
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,6.0,PRODUCT:5291,FRASCO ROLL-ON VIDRIO TRANSPARENTE 3ML C/TAPA Y TAPON,0.3357,2
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,1.0,PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,0.5966,3
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,2.0,PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,0.5966,3
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,3.0,PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,0.5966,3
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,4.0,PRODUCT:5337,PROBADOR DE VIDRIO 5ML METALIZADO RECARGABLE,0.5027,2
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,5.0,PRODUCT:5265,PIPETA SEREOLOGICA GRADUADA VIDRIO 5ML - CITOGLAS,0.4056,2
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,6.0,PRODUCT:5581,SOLO TAPA SPRAY MINI PISTOLA NEGRA N20,0.3996,2
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,1.0,PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,0.5966,3
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,2.0,PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,0.5966,3
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,3.0,PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,0.5966,3
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,4.0,PRODUCT:5110,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML - CITOGLAS,0.4056,2
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,5.0,PRODUCT:5349,BURETA DE VIDRIO GRADUADO DE 10ML CON LLAVE DE VIDRIO,0.4056,2
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,6.0,PRODUCT:5384,VASO DE VIDRIO BORO GRADUADO 10ML,0.4056,2
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,7.0,PRODUCT:5581,SOLO TAPA SPRAY MINI PISTOLA NEGRA N20,0.3996,2
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,8.0,PRODUCT:5089,PROBETA DE VIDRIO GRADUADA C/PICO 10 ML,0.3412,2
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,9.0,PRODUCT:5135,FRASCO ROLL-ON VIDRIO AMBAR 10ML C/TAPON Y TAPA,0.3357,2
