source,target,relation,weight,evidence
PRODUCT:5009,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY
PRODUCT:5009,CAPACITY:2ML,HAS_CAPACITY,0.95,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY
PRODUCT:5010,TYPE:ATOMIZADOR,HAS_TYPE,0.92,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY
PRODUCT:5010,SUBTYPE:ATOMIZADOR,HAS_SUBTYPE,0.95,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY
PRODUCT:5010,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY
PRODUCT:5010,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY
PRODUCT:5010,CAPACITY:3ML,HAS_CAPACITY,0.95,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY
PRODUCT:5011,TYPE:ATOMIZADOR,HAS_TYPE,0.92,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY
PRODUCT:5011,SUBTYPE:ATOMIZADOR,HAS_SUBTYPE,0.95,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY
PRODUCT:5011,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY
PRODUCT:5011,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY
PRODUCT:5011,CAPACITY:5ML,HAS_CAPACITY,0.95,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY
PRODUCT:5012,TYPE:ATOMIZADOR,HAS_TYPE,0.92,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY
PRODUCT:5012,SUBTYPE:ATOMIZADOR,HAS_SUBTYPE,0.95,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY
PRODUCT:5012,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY
PRODUCT:5012,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY
PRODUCT:5012,CAPACITY:10ML,HAS_CAPACITY,0.95,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY
PRODUCT:5013,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA
PRODUCT:5013,SUBTYPE:RIMEL,HAS_SUBTYPE,0.95,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA
PRODUCT:5013,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA
PRODUCT:5013,CAPACITY:5ML,HAS_CAPACITY,0.95,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA
PRODUCT:5014,TYPE:CREMERO,HAS_TYPE,0.94,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA
PRODUCT:5014,SUBTYPE:CREMERO,HAS_SUBTYPE,0.95,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA
PRODUCT:5014,ACCESSORY:LAINA,HAS_ACCESSORY,0.9,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA
PRODUCT:5014,ACCESSORY:TAPA,HAS_ACCESSORY,0.9,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA
PRODUCT:5014,CAPACITY:30GR,HAS_CAPACITY,0.95,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA
PRODUCT:5015,TYPE:POTE,HAS_TYPE,0.92,POTE PLASTICO 1KG B110 BLANCO C/TAPA
PRODUCT:5015,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,POTE PLASTICO 1KG B110 BLANCO C/TAPA
PRODUCT:5015,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,POTE PLASTICO 1KG B110 BLANCO C/TAPA
PRODUCT:5015,COLOR:BLANCO,HAS_COLOR,0.94,POTE PLASTICO 1KG B110 BLANCO C/TAPA
PRODUCT:5015,CAPACITY:1KG,HAS_CAPACITY,0.95,POTE PLASTICO 1KG B110 BLANCO C/TAPA
PRODUCT:5015,MOUTH_SIZE:110MM,HAS_MOUTH_SIZE,0.92,POTE PLASTICO 1KG B110 BLANCO C/TAPA
PRODUCT:5016,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA
PRODUCT:5016,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA
PRODUCT:5016,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA
PRODUCT:5016,COLOR:AMBAR,HAS_COLOR,0.94,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA
PRODUCT:5016,CAPACITY:250ML,HAS_CAPACITY,0.95,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA
PRODUCT:5017,TYPE:CREMERO,HAS_TYPE,0.94,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA
PRODUCT:5017,SUBTYPE:CREMERO,HAS_SUBTYPE,0.95,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA
PRODUCT:5017,ACCESSORY:LAINA,HAS_ACCESSORY,0.9,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA
PRODUCT:5017,ACCESSORY:TAPA,HAS_ACCESSORY,0.9,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA
PRODUCT:5017,CAPACITY:60GR,HAS_CAPACITY,0.95,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA
PRODUCT:5018,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO BULLET 30ML CON TAPA ATOMIZADOR
PRODUCT:5018,SUBTYPE:ATOMIZADOR,HAS_SUBTYPE,0.95,FRASCO BULLET 30ML CON TAPA ATOMIZADOR
PRODUCT:5018,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO BULLET 30ML CON TAPA ATOMIZADOR
PRODUCT:5018,CAPACITY:30ML,HAS_CAPACITY,0.95,FRASCO BULLET 30ML CON TAPA ATOMIZADOR
PRODUCT:5019,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO BULLET 60ML CON TAPA ATOMIZADOR
PRODUCT:5019,SUBTYPE:ATOMIZADOR,HAS_SUBTYPE,0.95,FRASCO BULLET 60ML CON TAPA ATOMIZADOR
PRODUCT:5019,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO BULLET 60ML CON TAPA ATOMIZADOR
PRODUCT:5019,CAPACITY:60ML,HAS_CAPACITY,0.95,FRASCO BULLET 60ML CON TAPA ATOMIZADOR
PRODUCT:5020,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA
PRODUCT:5020,SUBTYPE:ESMALTE,HAS_SUBTYPE,0.92,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA
PRODUCT:5020,ACCESSORY:BROCHA,HAS_ACCESSORY,0.92,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA
PRODUCT:5020,ACCESSORY:TAPA,HAS_ACCESSORY,0.92,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA
PRODUCT:5020,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA
PRODUCT:5020,COLOR:TRANSPARENTE,HAS_COLOR,0.94,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA
PRODUCT:5020,CAPACITY:5ML,HAS_CAPACITY,0.95,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA
PRODUCT:5021,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA
PRODUCT:5021,SUBTYPE:ESPUMERO,HAS_SUBTYPE,0.97,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA
PRODUCT:5021,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA
PRODUCT:5021,MATERIAL:PET,HAS_MATERIAL,0.94,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA
PRODUCT:5021,COLOR:TRANSPARENTE,HAS_COLOR,0.94,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA
PRODUCT:5021,CAPACITY:100ML,HAS_CAPACITY,0.95,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA
PRODUCT:5022,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA
PRODUCT:5022,SUBTYPE:ESPUMERO,HAS_SUBTYPE,0.97,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA
PRODUCT:5022,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA
PRODUCT:5022,MATERIAL:PET,HAS_MATERIAL,0.94,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA
PRODUCT:5022,COLOR:TRANSPARENTE,HAS_COLOR,0.94,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA
PRODUCT:5022,CAPACITY:150ML,HAS_CAPACITY,0.95,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA
PRODUCT:5023,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18
PRODUCT:5023,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18
PRODUCT:5023,MATERIAL:PET,HAS_MATERIAL,0.94,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18
PRODUCT:5023,COLOR:TRANSPARENTE,HAS_COLOR,0.94,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18
PRODUCT:5023,CAPACITY:30ML,HAS_CAPACITY,0.95,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18
PRODUCT:5023,MOUTH_SIZE:18MM,HAS_MOUTH_SIZE,0.92,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18
PRODUCT:5024,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA
PRODUCT:5024,SUBTYPE:ESPUMERO,HAS_SUBTYPE,0.97,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA
PRODUCT:5024,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA
PRODUCT:5024,MATERIAL:PET,HAS_MATERIAL,0.94,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA
PRODUCT:5024,COLOR:BLANCO,HAS_COLOR,0.94,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA
PRODUCT:5024,CAPACITY:150ML,HAS_CAPACITY,0.95,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA
PRODUCT:5025,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO BLANCO 40GR CON TAPA
PRODUCT:5025,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO BLANCO 40GR CON TAPA
PRODUCT:5025,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO BLANCO 40GR CON TAPA
PRODUCT:5025,COLOR:BLANCO,HAS_COLOR,0.94,PASTILLERO PLASTICO BLANCO 40GR CON TAPA
PRODUCT:5025,CAPACITY:40GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO BLANCO 40GR CON TAPA
