product_id,product_name,supplier,supplier_norm,supplier_options,effective_unit_cost,reference_unit_cost,edge_weight,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,is_negative_edge,scenario_type
5237,BOMBA ATOMIZADORA ACANALADO N28 410 NEGRO,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.3271,0.343135,-0.016035,0.016035,0.046731,1000,2000,2,2026-02-10,True,historical_saving
5238,BOMBA ATOMIZADORA ACANALADO N28 410 CELESTE,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.35917,0.35917,0.0,0.0,0.0,200,2000,1,2025-06-10,False,at_or_above_reference
5239,VIAL VIDRIO TRANSPARENTE 10ML B20 C/TAPA BUTILO,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,3,0.35,0.4,-0.05,0.05,0.125,150,4424,5,2026-01-28,True,historical_saving
5239,VIAL VIDRIO TRANSPARENTE 10ML B20 C/TAPA BUTILO,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,3,0.35,0.4,-0.05,0.05,0.125,100,2050,4,2026-03-21,True,historical_saving
5239,VIAL VIDRIO TRANSPARENTE 10ML B20 C/TAPA BUTILO,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,3,0.35,0.4,-0.05,0.05,0.125,100,3650,2,2025-11-29,True,historical_saving
5240,VIAL VIDRIO TRANSPARENTE ALTO 15ML B20,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.4,0.4,0.0,0.0,0.0,400,2050,3,2025-08-28,False,at_or_above_reference
5241,VIAL VIDRIO TRANSPARENTE 30ML B20,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.5,0.5,0.0,0.0,0.0,30,2050,1,2025-06-10,False,at_or_above_reference
5242,VIAL VIDRIO TRANSPARENTE 50ML N20,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.9,0.9,0.0,0.0,0.0,50,2050,3,2025-07-15,False,at_or_above_reference
5243,VIAL VIDRIO TRANSPARENTE 100ML B20,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.9,0.9,0.0,0.0,0.0,30,2050,1,2025-06-10,False,at_or_above_reference
5244,VIAL VIDRIO TRANSPARENTE 5ML B20 C/TAPA BUTILO GRIS,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.35,0.4,-0.05,0.05,0.125,30,2050,1,2025-06-10,True,historical_saving
5244,VIAL VIDRIO TRANSPARENTE 5ML B20 C/TAPA BUTILO GRIS,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,2,0.45,0.4,0.05,-0.05,-0.125,581,3650,1,2025-11-01,False,at_or_above_reference
5245,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,3,1.1,1.1,0.0,0.0,0.0,1000,2050,5,2026-03-26,False,at_or_above_reference
5245,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,3,1.1,1.1,0.0,0.0,0.0,600,4424,2,2026-01-14,False,at_or_above_reference
5245,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,3,1.1,1.1,0.0,0.0,0.0,1000,3650,2,2025-11-11,False,at_or_above_reference
5246,GOTERO VIDRIO TRANSPARENTE 10ML C/TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,1.0,1.0,0.0,0.0,0.0,500,2050,6,2026-04-29,False,at_or_above_reference
5246,GOTERO VIDRIO TRANSPARENTE 10ML C/TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,1.0,1.0,0.0,0.0,0.0,300,4424,1,2026-01-30,False,at_or_above_reference
5247,FRASCO VIDRIO TRANSPARENTE 30ML C/TAPA Y TAPON N18,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.8,0.8,0.0,0.0,0.0,26,2050,1,2025-06-09,False,at_or_above_reference
5248,FRASCO VIDRIO TRANSPARENTE 100ML C/TAPA Y TAPON B18,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,1.1,1.1,0.0,0.0,0.0,200,4424,3,2025-12-15,False,at_or_above_reference
5248,FRASCO VIDRIO TRANSPARENTE 100ML C/TAPA Y TAPON B18,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,1.1,1.1,0.0,0.0,0.0,26,2050,1,2025-06-11,False,at_or_above_reference
5249,SOLO MINI TRIGGER NEGRO B28,INVERSIONES AGO S.A.C.,INVERSIONES AGO S A C,4,0.58,0.9,-0.32,0.32,0.355556,1000,6084,3,2026-01-08,True,historical_saving
5249,SOLO MINI TRIGGER NEGRO B28,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,4,0.9,0.9,0.0,0.0,0.0,55,2050,2,2025-07-09,False,at_or_above_reference
5249,SOLO MINI TRIGGER NEGRO B28,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,4,0.9,0.9,0.0,0.0,0.0,100,3650,1,2025-10-27,False,at_or_above_reference
