product_id,product_name,best_supplier,reference_unit_cost,effective_unit_cost,bellman_ford_distance,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,has_negative_edge
5588,TAPA DISPENSADORA NEGRO B28MM,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,0.45629,0.45629,0.0,0.0,0.0,1000.0,2000.0,1,2026-03-02,False
5593,FRASCO PET AZUL 250ML C/TAPA DISPENSADORA N24,ENVIPLAST E.I.R.L.,2.1,2.1,0.0,0.0,0.0,24.0,2050.0,1,2026-03-03,False
5594,POTE CREMERO SIMPLE C/ CINTILLO PLATEADO 200GR C/TAPA Y LAINA,MULTIGLASS & PLASTIC E.I.R.L.,3.3,3.3,0.0,0.0,0.0,25.0,2350.0,2,2026-04-06,False
5595,FRASCO GOTERO INTERNO VIDRIO AZUL 10ML B/18 C/TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,0.9,0.9,0.0,0.0,0.0,500.0,4424.0,1,2026-03-06,False
5597,POTE DE VIDRIO RECTO TRANPARENTE C/ TAPA METALIZADA 458ML,ENVASES DEL PERU WILDOR EIRL,1.8,1.8,0.0,0.0,0.0,96.0,823.0,1,2026-03-11,False
5598,TAPA PRESS N°24,ENVIPLAST E.I.R.L.,0.8,0.8,0.0,0.0,0.0,50.0,2050.0,1,2026-03-13,False
5599,POTE PLASTICO BLANCO ALTO 300GR C/TAPA Y LAINA,ENVIPLAST E.I.R.L.,1.8,1.8,0.0,0.0,0.0,50.0,2050.0,1,2026-03-30,False
5600,POTE PLASTICO BLANCO 200GR C/TAPA Y LAINA,ENVIPLAST E.I.R.L.,1.5,1.5,0.0,0.0,0.0,50.0,2050.0,1,2026-03-30,False
5603,PIPETA SEREOLOGICA GRADUADA VIDRIO 3ML,CORPORACION PROMELAB E.I.R.L.,2.5,2.5,0.0,0.0,0.0,5.0,1250.0,1,2026-03-27,False
5604,SOLO TAPA GOTERO INTERNO Y TAPON N18,ENVIPLAST E.I.R.L.,0.12,0.12,0.0,0.0,0.0,25.0,2050.0,1,2026-04-01,False
5605,MATRAZ CON PICO KITAZATO DE VIDRIO 500ML,CORPORACION PROMELAB E.I.R.L.,15.0,15.0,0.0,0.0,0.0,1.0,1250.0,1,2026-04-06,False
5607,TUBO PARA BRILLO LABIAL 10ML GLOSS,ENVIPLAST E.I.R.L.,2.0,2.0,0.0,0.0,0.0,30.0,2050.0,1,2026-04-08,False
5608,CRISOL 25ML,CORPORACION PROMELAB E.I.R.L.,2.5,2.5,0.0,0.0,0.0,100.0,1250.0,1,2026-04-10,False
5610,FRASCO LAVAVAJILLA PET 500ML S/TAPA,INVERSIONES AGO S.A.C.,0.6,0.6,0.0,0.0,0.0,500.0,6084.0,1,2026-04-14,False
5611,FRASCO PET TRANSPARENTE GATILLO 650ML MOD IP S/TAPA B28,INVERSIONES AGO S.A.C.,0.71,0.71,0.0,0.0,0.0,500.0,6084.0,1,2026-04-14,False
5612,PET JABONERA TRANSPARENTE 28GR 400ML S/TAPA B28,INVERSIONES AGO S.A.C.,0.45,0.45,0.0,0.0,0.0,500.0,6084.0,1,2026-04-14,False
5613,SOLO TRIGGER MINI GATILLO BLANCO B24,INVERSIONES AGO S.A.C.,0.56,0.56,0.0,0.0,0.0,1000.0,6084.0,1,2026-04-14,False
5614,BURETA DE VIDRIO C/LLAVE TEFLON 50ML,BIO CHEMICALSS S.A.C.,45.0,45.0,0.0,0.0,0.0,2.0,500.0,1,2026-04-17,False
5615,CUCHARA DE POLIETILENO PARA STEVIA,ENVIPLAST E.I.R.L.,0.07,0.07,0.0,0.0,0.0,2000.0,2050.0,1,2026-04-21,False
5616,TUBO DE ENSAYO T/ROSCA 20*125 PYREX,BIO CHEMICALSS S.A.C.,2.0,2.0,0.0,0.0,0.0,5.0,500.0,1,2026-04-30,False
5617,PIPETA SEREOLOGICA 1ML - BOECO AZUL,BIO CHEMICALSS S.A.C.,4.5,4.5,0.0,0.0,0.0,12.0,500.0,1,2026-04-29,False
6514,GOTERO VIDRIO AMBAR 20ML TAPA METALIZADA DORADA Y CHUPON,ENVIPLAST E.I.R.L.,1.3,1.3,0.0,0.0,0.0,50.0,2050.0,1,2026-04-18,False
