product_id,product_name,total_value,sale_lines,value_share,cumulative_share,abc_class
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),1154.0,55,0.00545,0.44239,A
5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),1152.5,45,0.005443,0.447833,A
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,1142.2998704000001,65,0.005395,0.453228,A
5415,BOTELLA PET TRANSPARENTE 30ML B28 C/TAPA,1116.1,14,0.005271,0.458499,A
5075,POTE PLASTICO 500GR B110MM BLANCO CON TAPA,1095.8,32,0.005175,0.463674,A
5450,PHMETRO DIGITAL AMARILLO,1092.5,15,0.00516,0.468834,A
5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,1088.949952,76,0.005143,0.473977,A
5165,FRASCO VIDRIO AMBAR IMPORTADO 500ML TAPA Y TAPON N28,1084.7,22,0.005123,0.4791,A
5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,1074.0499796,34,0.005073,0.484173,A
5188,TUBO DE ENSAYO T/ROSCA 16*150 - PYREX,1071.5,25,0.005061,0.489234,A
5296,FRASCO PET NEGRO 250ML C/TAPA ESPRAY MINI PISTOLA N24,1039.0,37,0.004907,0.494141,A
5020,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,1010.55,63,0.004773,0.498914,A
5045,FRASCO PLASTICO BLANCO 120ML CON TAPA Y TAPON N28,991.1500000000001,14,0.004681,0.503595,A
5248,FRASCO VIDRIO TRANSPARENTE 100ML C/TAPA Y TAPON B18,931.0,3,0.004397,0.507992,A
5166,FRASCO VIDRIO AMBAR IMPORTADO 1LT B28 TAPA Y TAPON,904.4,25,0.004271,0.512263,A
5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,899.5,62,0.004248,0.516511,A
5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,891.5,38,0.004211,0.520722,A
5212,FRASCO PET BLANCO ESPUMERO 100ML C/TAPA,874.1999999999999,36,0.004129,0.524851,A
5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,865.3500000002,49,0.004087,0.528938,A
5123,POTE VIDRIO AMBAR IMPORTADO 1KG C/TAPA,857.1,23,0.004048,0.532986,A
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,844.6,54,0.003989,0.536975,A
5452,GALONERA NATURAL 4L C/TAPA Y TAPON,831.8,17,0.003929,0.540904,A
