codigo,descripcion_original,tipo_producto,subtipo,material_principal,color,volumen_ml,tam_boca_mm,tipo_cierre,uso_categoria,familia_material,notas
5138,TUBO CONICO CON TAPA ROSCA DE 50ML NO ESTERIL,tubo,,LDPE,,50.0,,ROSCA,general,POLIETILENO,
5181,POTE CREMERO DOBLE FONDO C/ CINTILLO PLATEADO 50GR C/TAPA Y LAINA,cremero,,,,,,,cosmetica,,
5182,STAPA ESPRAY PLASTICO BLANCO N28 C/SOBRE TAPA ALTA,tapa,,PP,BLANCO,,28,,general,POLIPROPILENO,
5185,FRASCO PLASTICO INSECTICIDA BLANCO 500ML C/TAPA Y TAPON,frasco,,PEAD,BLANCO,500.0,,,general,POLIETILENO,
5186,FRASCO PLASTICO INSECTICIDA BLANCO 1LT C/TAPA Y TAPON,frasco,,PEAD,BLANCO,1000.0,,,general,POLIETILENO,
5192,FRASCO PET CAMPANA BLANCO 300ML C/TAPA DISPENSADOR N28..,frasco,campana,PET,BLANCO,300.0,28,,general,POLIETILENO TEREFTALATO,
5193,TUBO COLAPSIBLE BLANCO 30ML C/TAPA,tubo,,LDPE,BLANCO,30.0,,,general,POLIETILENO,
5195,TUBO COLAPSIBLE BLANCO 60ML C/TAPA,tubo,,LDPE,BLANCO,60.0,,,general,POLIETILENO,
5196,TUBO COLAPSIBLE BLANCO 100ML C/TAPA,tubo,,LDPE,BLANCO,100.0,,,general,POLIETILENO,
5197,TUBO COLAPSIBLE BLANCO 120ML C/TAPA,tubo,,LDPE,BLANCO,120.0,,,general,POLIETILENO,
5199,TALQUERA PLASTICO 70GR C/TAPA Y REJILLA,accesorio,,,,,,REJILLA,general,,
5200,FRASCO PET BOLON 400ML TRANSPARENTE C/TAPA ESPRAY PISTOLA N28,frasco,,PET,TRANSPARENTE,400.0,28,,general,POLIETILENO TEREFTALATO,
5203,POTE PLASTICO BLANCO TIPO ANALISIS 120GR C/TAPA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5204,POTE PLASTICO BLANCO TIPO ANALISIS 100GR C/TAPA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5208,FRASCO PET TRANSPARENTE 30ML C/TAPA PRESS N20,frasco,,PET,TRANSPARENTE,30.0,20,,general,POLIETILENO TEREFTALATO,
5209,FRASCO PET TRANSPARENTE 120ML B/28 C/TAPA DISPENSADOR GEL,frasco,,PET,TRANSPARENTE,120.0,28,,general,POLIETILENO TEREFTALATO,
5210,TUBO T/LILA K2 C/EDTA 3ML 13*75MM*100UND ALIANZA,tubo,,LDPE,,3.0,,,general,POLIETILENO,
5212,FRASCO PET BLANCO ESPUMERO 100ML C/TAPA,frasco,espumero,PET,BLANCO,100.0,,ESPUMERO,cosmetica,POLIETILENO TEREFTALATO,
5213,FRASCO PET TRANSPARENTE ESPUMERO 200ML C/ TAPA,frasco,espumero,PET,TRANSPARENTE,200.0,,ESPUMERO,cosmetica,POLIETILENO TEREFTALATO,
5216,FRASCO PET TRANSPARENTE 60ML C/TAPA Y TAPON N28,frasco,,PET,TRANSPARENTE,60.0,28,,general,POLIETILENO TEREFTALATO,
5217,FRASCO PET TRANSPARENTE 120ML TAPA Y TAPON B28,frasco,,PET,TRANSPARENTE,120.0,28,,general,POLIETILENO TEREFTALATO,
5218,FRASCO PET TRANSPARENTE ALTO 120ML C/TAPA Y TAPON N28,frasco,,PET,TRANSPARENTE,120.0,28,,general,POLIETILENO TEREFTALATO,
5222,FRASCO PET AMBAR 120ML B28 C/TAPA GATILLO,frasco,,PET,AMBAR,120.0,28,,general,POLIETILENO TEREFTALATO,
5223,PROPIPETA VERDE 10ML,accesorio,,PP,VERDE,10.0,,,general,POLIPROPILENO,
5229,BOMBA ATOMIZADORA ACANALADO 20 410 BLANCO,atomizador,,PP,BLANCO,,,,general,POLIPROPILENO,
5230,BOMBA ATOMIZADORA ACANALADO N28 410 FUCSIA,atomizador,,PP,FUCSIA,,28,,general,POLIPROPILENO,
5231,BOMBA ATOMIZADORA ACANALADO 20 410 TRANSPARENTE,atomizador,,PP,TRANSPARENTE,,,,general,POLIPROPILENO,
5232,BOMBA ATOMIZADORA ACANALADO 20/410 NEGRO,atomizador,,PP,NEGRO,,20,,general,POLIPROPILENO,
5233,BOMBA ATOMIZADORA ACANALADO 20/410 CELESTE,atomizador,,PP,CELESTE,,20,,general,POLIPROPILENO,
5234,BOMBA ATOMIZADORA ACANALADO N20 410 FUCSIA,atomizador,,PP,FUCSIA,,20,,general,POLIPROPILENO,
5235,BOMBA ATOMIZADORA ACANALADO N28 410 BLANCO,atomizador,,PP,BLANCO,,28,,general,POLIPROPILENO,
5236,BOMBA ATOMIZADORA ACANALADO N28 410 TRANSPARENTE,atomizador,,PP,TRANSPARENTE,,28,,general,POLIPROPILENO,
5237,BOMBA ATOMIZADORA ACANALADO N28 410 NEGRO,atomizador,,PP,NEGRO,,28,,general,POLIPROPILENO,
5238,BOMBA ATOMIZADORA ACANALADO N28 410 CELESTE,atomizador,,PP,CELESTE,,28,,general,POLIPROPILENO,
5249,SOLO MINI TRIGGER NEGRO B28,atomizador,,PP,NEGRO,,28,ATOMIZADOR,general,POLIPROPILENO,
5250,TUBO CONICO CON TAPA ROSCA DE 15ML NO ESTERIL,tubo,,LDPE,,15.0,,ROSCA,general,POLIETILENO,
5253,FRASCO PET 1LT TRANSPARENTE C/SPRAY PISTOLA N28,frasco,,PET,TRANSPARENTE,1000.0,28,,general,POLIETILENO TEREFTALATO,
5254,POTE ACRILICO 5GR C/TAPA ROSCA,pote,,ACRILICO,,,,ROSCA,general,ACRILICO,
5255,VASELINERO 7GR,cremero,,,,,,,cosmetica,,
5256,TALQUERA PLASTICO 140GR C/TAPA Y REJILLA,accesorio,,,,,,REJILLA,general,,
5257,POTE PET TRANSPARENTE 250GR C/TAPA ROSCA,pote,,PET,TRANSPARENTE,,,ROSCA,general,POLIETILENO TEREFTALATO,
5258,PIPETAS PASTEUR ESTRILES 5ML (BLS100),accesorio,,LDPE,,5.0,,,general,POLIETILENO,
5261,GOTER PLASTICO BLANCO 5ML C/TAPA Y TAPON N15,tapa,,PP,BLANCO,5.0,15,,general,POLIPROPILENO,
5262,GOTERO PLASTICO BLANCO 10ML C/TAPA Y TAPON N15,gotero,,,BLANCO,10.0,15,GOTERO,general,,
5263,GOTERO PLASTICO BLANCO 7ML C/TAPA Y TAPON N15,gotero,,,BLANCO,7.0,15,GOTERO,general,,
5270,PIPETEADOR DE CREMALLERA VERDE (PUMP) 10ML,accesorio,,PP,VERDE,10.0,,,general,POLIPROPILENO,
5272,PROBADOR PLASTICO 10ML ESPRAY COLORES,accesorio,,,,10.0,,,general,,
5275,SOLO TAPA PRESS N28.,tapa,,PP,,,28,,general,POLIPROPILENO,
5276,POTE CREMERO DOBLE FONDO BLANCO IMPORTADO 30GR C/TAPA Y LAINA,cremero,,,BLANCO,,,,cosmetica,,
5277,POTE CREMERO DOBLE FONDO 60GR BLANCO C/TAPA Y LAINA NACIONAL,cremero,,,BLANCO,,,,cosmetica,,
5278,POTE PASTILLERO PLASTICO BLANCO 19GR C/TAPA B/20,accesorio,pastillero,,BLANCO,,20,,general,,
5279,POTE PASTILLERO PLASTICO BLANCO 12GR C/TAPA B/20,accesorio,pastillero,,BLANCO,,20,,general,,
5280,POTE PASTILLERO PLASTICO BLANCO 10GR C/TAPA B/20,accesorio,pastillero,,BLANCO,,20,,general,,
5284,TAPON IMPORTADO B28,tapa,,PP,,,28,,general,POLIPROPILENO,
5285,SOLO MINI TRIGGER BLANCO B28,atomizador,,PP,BLANCO,,28,ATOMIZADOR,general,POLIPROPILENO,
5286,FRASCO PET TRANSPARENTE 250ML C/TAPA SPRAY MINI PISTOLA N24,frasco,,PET,TRANSPARENTE,250.0,24,,general,POLIETILENO TEREFTALATO,
5287,POTE PLASTICO BLANCO TIPO FROTACION 50GR C/TAPA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5288,POTE PLASTICO BLANCO TIPO FROTACION 100GR C/TAPA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5289,TAPON PLASTICO IMPORTADO N28,tapa,,PP,,,28,,general,POLIPROPILENO,
5294,LIPSTICK/BALSAMO LABIAL 5ML,accesorio,,,,5.0,,,cosmetica,,
5295,FRASCO PLASTICO NEGRO 350ML C/TAPA ESPRAY MINI PISTOLA N24,frasco,,,NEGRO,350.0,24,,general,,
5296,FRASCO PET NEGRO 250ML C/TAPA ESPRAY MINI PISTOLA N24,frasco,,PET,NEGRO,250.0,24,,general,POLIETILENO TEREFTALATO,
5297,PET COLORES CILINDRICO 120ML TAPA PRESS N20,tapa,,PET,,120.0,20,,general,POLIETILENO TEREFTALATO,
5305,PROBADOR PLASTICO 12ML ESPRAY COLORES,accesorio,,,,12.0,,,general,,
5308,TUVO CONICO TAPA AZUL 50ML C/FALDON,tapa,,PP,AZUL,50.0,,,general,POLIPROPILENO,
5309,GRADILLA 7*3 21T CONICO 50MM,accesorio,,,,,,,general,,
5310,FRASCO PET TRANSPARENTE 250ML C/TAPA PRESS N24,frasco,,PET,TRANSPARENTE,250.0,24,,general,POLIETILENO TEREFTALATO,
5311,PROBETA PLASTICO 1L,accesorio,,PP,,1000.0,,,general,POLIPROPILENO,
5313,FRASCO PET DE COLORES CILINDRICO 120ML C/TAPA ESPRAY N20,frasco,,PET,,120.0,20,,general,POLIETILENO TEREFTALATO,
5314,POTE PET TRANSPARENTE 1KG C/TAPA,pote,,PET,TRANSPARENTE,,,,general,POLIETILENO TEREFTALATO,
5315,FRASCO PLASTICO INSECTICIDA 125ML C/TAPA Y TAPON,frasco,,,,125.0,,,general,,
5317,FRASCO PARA GEL 30ML DE CARTERA,frasco,,,,30.0,,,general,,
5318,FRASCO PET BLANCO 60ML C/TAPA PRESS N20,frasco,,PET,BLANCO,60.0,20,,general,POLIETILENO TEREFTALATO,
5319,CRIOBOX PARA 50CRIOVIALES,accesorio,,PP,,,,,general,POLIPROPILENO,
5321,BOMBA DISPENSADORA PARA GALONERA 28/410 ACANALADO COLOR BLANCO,atomizador,,PP,BLANCO,,28,,general,POLIPROPILENO,
5323,VASO DOSIFICADOR PLASTICO GRADUADO 15ML,accesorio,,,,15.0,,,general,,
5324,FRASCO BLANCO TIPO LAVABAJILLA 650ML C/TAPA FLIT TOP B28,frasco,,PEAD,BLANCO,650.0,28,FLIP-TOP,general,POLIETILENO,
5327,FRASCO PET 1LT TRANSPARENTE C/TAPA Y TAPON N28.,frasco,,PET,TRANSPARENTE,1000.0,28,,general,POLIETILENO TEREFTALATO,
5330,BOMBA PARA PIPETA,accesorio,,LDPE,,,,,general,POLIETILENO,
5331,BOTELLA PET TRANSPARENTE 120ML B28 SIN TAPA,frasco,,PET,TRANSPARENTE,120.0,28,,general,POLIETILENO TEREFTALATO,
5333,BOTELLA PET TRANSPARENTE 250ML B28 C/TAPA Y TAPON,frasco,,PET,TRANSPARENTE,250.0,28,,general,POLIETILENO TEREFTALATO,
5334,BOTELLA PET TRANSPARENTE 500ML B28 SIN TAPA,frasco,,PET,TRANSPARENTE,500.0,28,,general,POLIETILENO TEREFTALATO,
5335,BOTELLA PET TRANSPARENTE 1LT (37gr) B28 SIN TAPA,frasco,,PET,TRANSPARENTE,1000.0,28,,general,POLIETILENO TEREFTALATO,
5336,PET CAMPANA TRANSPARENTE 300ML S/T B28..,frasco,campana,PET,TRANSPARENTE,300.0,28,,general,POLIETILENO TEREFTALATO,
5338,TAPA CHUPON BLANCO B28,tapa,,PP,BLANCO,,28,,general,POLIPROPILENO,
5340,FRASCO PET COLORES BOSTON 120ML C/TAPA ESPRAY B20,frasco,,PET,,120.0,20,,general,POLIETILENO TEREFTALATO,
5344,TAPA FLIT TOP B28,tapa,,PP,,,28,FLIP-TOP,general,POLIPROPILENO,
5345,EMBUDO PLASTICO,accesorio,,PP,,,,,general,POLIPROPILENO,
5361,FRASCO ESPARRAGUERO 370ML C/TAPA 63,frasco,,,,370.0,,,general,,
5363,FRASCO CUADRADRO 387ML C/TAPA 63,frasco,,,,387.0,,,general,,
5364,FRASCO BARRIL 720ML C/TAPA 82,frasco,,,,720.0,,,general,,
5365,FRASCO VID TRANSPARENTE 370ML BAJO C/TAPA 77,frasco,,,TRANSPARENTE,370.0,,,general,,
5366,FRASCO COLMENA 746 C/TAPA 77,frasco,,,,,,,general,,
5367,FRASCO 4 ONZAS C/TAPA 63,frasco,,,,,,,general,,
5383,PROBETA DE PLASTICO GRADUADA PROBETA DE PLASTICO GRADUADA 500 ML,accesorio,,PP,,500.0,,,general,POLIPROPILENO,
5385,VASO GRADUADO DE POLIPROPILENO 100ML,accesorio,,PP,,100.0,,,general,POLIPROPILENO,
5386,VASO GRADUADO DE POLIPROPILENO 250ML-300ML,accesorio,,PP,,250.0,,,general,POLIPROPILENO,
5393,FRASCO PET BLANCO 60ML C/TAPA FLIP TOP N20,frasco,,PET,BLANCO,60.0,20,FLIP-TOP,general,POLIETILENO TEREFTALATO,
5394,PET TRANSPARENTE 10ML C/GOTERO CHUPON N18,gotero,,PET,TRANSPARENTE,10.0,18,GOTERO,general,POLIETILENO TEREFTALATO,
5395,GOTERO PET TRANSPARENTE 20ML N18,gotero,,PET,TRANSPARENTE,20.0,18,GOTERO,general,POLIETILENO TEREFTALATO,
5396,GOTERO PET TRANSPARENTE 30ML C/ TAPA Y CHUPON N18,gotero,,PET,TRANSPARENTE,30.0,18,GOTERO,general,POLIETILENO TEREFTALATO,
5404,FRASCO BOCA ANCHA TRANSPARENTE TAPA AZUL 50ML,frasco,,,TRANSPARENTE,50.0,,,general,,
5406,PUNTAS BLANCAS PARA PIPETA (B200U),accesorio,,PP,,,,,general,POLIPROPILENO,
5414,PET JABONERA 37GR 400ML C/TAPA DISPENSADOR B28,tapa,,PET,,400.0,28,,general,POLIETILENO TEREFTALATO,
5415,BOTELLA PET TRANSPARENTE 30ML B28 C/TAPA,frasco,,PET,TRANSPARENTE,30.0,28,,general,POLIETILENO TEREFTALATO,
5419,GOTERO PLASTICO BLANCO 30ML C/TAPA Y TAPON N15,gotero,,,BLANCO,30.0,15,GOTERO,general,,
5420,FRASCO PARA RIMEL 4ML C/TAPA (12CM - 1.5CM) INYEC.,frasco,rimel,,,4.0,,,cosmetica,,
5424,GRADILLA CUBIERTA DE PLASTICO 3*4,accesorio,,,,,,,general,,
5425,POTE CREMERO DOBLE FONDO C/ CINTILLO PLATEADO 100GR C/TAPA Y LAINA,cremero,,,,,,,cosmetica,,
5427,TAPA GASEOSA B28 NEGRO,tapa,,PP,NEGRO,,28,,general,POLIPROPILENO,
5428,PET TRANSPARENTE 100ML TAPA DISPENSADOR B20,tapa,,PET,TRANSPARENTE,100.0,20,,general,POLIETILENO TEREFTALATO,
5437,TUBO CONICO C/TAPA ROSCA NO ESTERIL DE 10ML (BLS*100UND),tubo,,LDPE,,10.0,,ROSCA,general,POLIETILENO,
5438,GRADILLA PLASTIFICADA 48 TUBOS NACIONAL,accesorio,,,,,,,general,,
5439,GRADILLA DE PLASTICO 60 TUBOS  DE 10 Y/O 15ML,accesorio,,,,15.0,,,general,,
5440,GRADILLA DE PLASTICA PARA 90 TUBOS DE ENSAYO 13*100,accesorio,,,,,,,general,,
5441,TAPA PLASTICA GASEOSA BLANCO,tapa,,PP,BLANCO,,,,general,POLIPROPILENO,
5444,TUBO DE PLASTICO 13*100MM BLS*300UND,tubo,,LDPE,,,,,general,POLIETILENO,
5446,PUNTERA DE 100-1000 UL AZUL GRADUADA (BLS *500UND),accesorio,,PP,AZUL,,,,general,POLIPROPILENO,
5447,PUNTERA DE 200UL AMARILLA (BLS *1000UND),accesorio,,PP,,,,,general,POLIPROPILENO,
5451,SOLO FRASCO PET CAMPANA 500ML,frasco,campana,PET,,500.0,,,general,POLIETILENO TEREFTALATO,
5452,GALONERA NATURAL 4L C/TAPA Y TAPON,tapa,,PP,NATURAL,4000.0,,,general,POLIPROPILENO,
5453,FRASCO BULLET 120ML C/TAPA ATOMIZADOR,frasco,bullet,,,120.0,,,cosmetica,,
5456,POTE PLASTICO TIPO PROTEINA BLANCO 1KG C/TAPA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5457,POTE PLASTICO TIPO PROTEINA NEGRO 1KG C/TAPA,pote,,,NEGRO,,,,general,,
5470,PLACA PETRI DE 60*15MM SIN DIVISION PLASTICO (BLS10),accesorio,,,,,,,general,,
5471,PIPETEADOR DE CREMALLERA AMARILLO (PUMP),accesorio,,PP,AMARILLO,,,,general,POLIPROPILENO,
5476,PIPETEADOR DE CREMALLERA ROJO(PUMP) 25ML,accesorio,,PP,ROJO,25.0,,,general,POLIPROPILENO,
5478,FRASCO CILINDRO PET TRANSPARENTE 250ML B28 SIN TAPA,frasco,,PET,TRANSPARENTE,250.0,28,,general,POLIETILENO TEREFTALATO,
5479,PROBADOR PLASTICO NATURAL CON ATOMIZDOR 10ML,accesorio,,,NATURAL,10.0,,,general,,
5480,PROBADOR PLASTICO NATURAL C/GANCHO CON ATOMIZDOR 10ML,accesorio,,,NATURAL,10.0,,,general,,
