product_id,supplier_norm,product_name,supplier,unit_cost,avg_unit_cost,capacity_units,purchase_lines,last_purchase,supplier_capacity,delivery_days
0007,SHALOM EMPRESARIAL S A C,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",SHALOM EMPRESARIAL S.A.C.,1.0,1.0,20,1,2025-11-07,20,3
0008,NEGOCIACIONES MANTARI E I R L,BOLSA 16*19 C/ASA*100UND,NEGOCIACIONES MANTARI E.I.R.L.,4.5,105.25,2,2,2026-04-21,300,3
0009,NEGOCIACIONES MANTARI E I R L,BOLSA 21*24,NEGOCIACIONES MANTARI E.I.R.L.,10.0,10.0,2,1,2025-12-01,300,3
5000,COMERCIAL FERRETERA SARASARA S A C,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,0.8,0.8,500,1,2025-11-06,4424,3
5000,ENVIPLAST E I R L,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,0.8,0.8,100,6,2025-08-07,2050,1
5000,ESNA MEDIC INVERSIONES S A C,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,0.8,0.8,500,2,2025-11-06,3650,1
5000,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,QUESITO SA,1.12,1.12,50,1,2025-03-12,850,3
5001,COMERCIAL FERRETERA SARASARA S A C,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,0.85,0.85,2000,1,2025-11-19,4424,3
5001,ENVIPLAST E I R L,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,0.85,0.85,100,5,2025-07-24,2050,1
5001,ESNA MEDIC INVERSIONES S A C,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,0.85,0.85,1000,3,2025-11-19,3650,1
5001,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,QUESITO SA,1.19,1.19,50,1,2025-03-12,850,3
5002,COMERCIAL FERRETERA SARASARA S A C,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,0.9,0.9,156,2,2026-01-01,4424,3
5002,ENVIPLAST E I R L,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,0.9,0.9,100,4,2025-07-07,2050,1
5002,ESNA MEDIC INVERSIONES S A C,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,0.9,0.9,200,1,2025-09-15,3650,1
5002,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,QUESITO SA,1.26,1.26,50,1,2025-03-12,850,3
5003,COMERCIAL FERRETERA SARASARA S A C,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,1.0,1.0,25,1,2025-12-03,4424,3
5003,ENVIPLAST E I R L,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,0.999991,0.999999,80,7,2025-08-20,2050,1
5003,ESNA MEDIC INVERSIONES S A C,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,1.0,1.0,200,1,2025-09-15,3650,1
5003,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,QUESITO SA,1.4,1.4,50,1,2025-03-12,850,3
5003,VARIOS,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,VARIOS,1.0,1.0,100,1,2025-08-26,100,1
5004,CORPORACION PROMELAB E I R L,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,CORPORACION PROMELAB E.I.R.L.,1.0,1.022222,110,9,2026-01-26,1250,1
5004,ENVIPLAST E I R L,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,1.199989,1.199998,100,5,2026-03-31,2050,1
5004,ESNA MEDIC INVERSIONES S A C,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,1.2,1.2,200,1,2025-09-15,3650,1
5004,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,QUESITO SA,1.68,1.68,50,1,2025-03-12,850,3
5005,ENVIPLAST E I R L,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,1.4,1.4,205,7,2026-03-28,2050,1
5005,ESNA MEDIC INVERSIONES S A C,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,1.4,1.4,100,1,2025-09-15,3650,1
5005,MULTIGLASS PLASTIC E I R L,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,MULTIGLASS & PLASTIC E.I.R.L.,1.5,1.5,2350,4,2026-04-15,2350,1
5005,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,QUESITO SA,1.96,1.96,50,1,2025-03-12,850,3
5006,COMERCIAL FERRETERA SARASARA S A C,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,1.6,1.6,100,1,2026-01-01,4424,3
5006,ENVIPLAST E I R L,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,1.6,1.6,100,8,2025-09-02,2050,1
5006,ESNA MEDIC INVERSIONES S A C,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,1.6,1.6,100,2,2025-11-24,3650,1
5006,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,QUESITO SA,2.24,2.24,50,1,2025-03-12,850,3
5007,ENVIPLAST E I R L,NEGROTAPA DISPENSADORA BLANCO B28MM,ENVIPLAST E.I.R.L.,0.8,0.8,30,2,2025-07-09,2050,1
5007,GENPLAST S A C,TAPA DISPENSADORA BLANCO B28MM,GENPLAST S.A.C.,0.59,0.59,500,1,2025-04-14,9200,1
5007,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,TAPA DISPENSADORA BLANCO B28MM,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,0.455,0.462735,1000,4,2026-04-06,2000,3
5007,QUESITO SA,TAPA DISPENSADOR BLANCOTAPA DISPENSADORA BLANCO B28MM,QUESITO SA,1.4,1.4,22,1,2025-03-12,850,3
5007,VARIOS,TAPA DISPENSADORA BLANCO B28MM,VARIOS,0.999991,0.999991,100,1,2025-04-02,100,1
5007,VIPLASTIC S A C,TAPA DISPENSADORA BLANCO B28MM,VIPLASTIC S.A.C.,1.4,1.4,25,1,2025-06-09,250,2
5008,QUESITO SA,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJAFRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,QUESITO SA,2.8,2.8,22,1,2025-03-12,850,3
5009,COMERCIAL FERRETERA SARASARA S A C,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,COMERCIAL FERRETERA SARASARA S.A.C.,0.65,0.65,100,1,2025-11-25,4424,3
5009,ENVIPLAST E I R L,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,0.65,0.65,25,1,2025-04-30,2050,1
5009,ESNA MEDIC INVERSIONES S A C,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,ESNA MEDIC INVERSIONES S.A.C.,0.65,0.65,100,2,2025-11-02,3650,1
5009,QUESITO SA,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,QUESITO SA,0.91,0.91,24,1,2025-03-12,850,3
5010,COMERCIAL FERRETERA SARASARA S A C,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,COMERCIAL FERRETERA SARASARA S.A.C.,0.7,0.7,100,1,2025-11-25,4424,3
5010,ESNA MEDIC INVERSIONES S A C,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,ESNA MEDIC INVERSIONES S.A.C.,0.7,0.7,100,1,2025-10-10,3650,1
5010,QUESITO SA,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,QUESITO SA,0.98,0.98,25,1,2025-03-12,850,3
5011,COMERCIAL FERRETERA SARASARA S A C,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,COMERCIAL FERRETERA SARASARA S.A.C.,0.8,0.8,100,2,2025-12-03,4424,3
5011,ENVIPLAST E I R L,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,0.799993,0.799999,100,10,2026-04-07,2050,1
5011,ESNA MEDIC INVERSIONES S A C,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ESNA MEDIC INVERSIONES S.A.C.,0.8,0.8,200,1,2025-10-07,3650,1
5011,QUESITO SA,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,QUESITO SA,1.12,1.12,25,1,2025-03-12,850,3
5012,COMERCIAL FERRETERA SARASARA S A C,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,COMERCIAL FERRETERA SARASARA S.A.C.,0.9,0.9,100,1,2026-01-12,4424,3
5012,ENVIPLAST E I R L,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,0.899998,0.9,100,9,2026-04-07,2050,1
5012,QUESITO SA,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,QUESITO SA,1.26,1.26,25,1,2025-03-12,850,3
5013,COMERCIAL FERRETERA SARASARA S A C,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,2.0,2.0,100,2,2025-12-15,4424,3
5013,ENVIPLAST E I R L,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,ENVIPLAST E.I.R.L.,2.0,2.0,30,2,2025-08-20,2050,1
5013,QUESITO SA,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPAFRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,QUESITO SA,2.8,2.8,25,1,2025-03-12,850,3
5014,ENVIPLAST E I R L,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,ENVIPLAST E.I.R.L.,0.36,0.36,500,11,2026-04-08,2050,1
5014,ESNA MEDIC INVERSIONES S A C,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,ESNA MEDIC INVERSIONES S.A.C.,0.36,0.36,500,1,2025-09-15,3650,1
5014,QUESITO SA,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINAPOTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,QUESITO SA,0.504,0.504,25,1,2025-03-12,850,3
5015,ENVIPLAST E I R L,POTE PLASTICO 1KG B110 BLANCO C/TAPA,ENVIPLAST E.I.R.L.,1.1,1.1,25,1,2025-04-28,2050,1
5015,QUESITO SA,POTE VIDRIO TRANSPARENTE 100GR CON TAPA DE METAL N53POTE PLASTICO 1KG B110 BLANCO C/TAPA,QUESITO SA,0.7714,0.7714,25,1,2025-03-12,850,3
5016,QUESITO SA,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLAFRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,QUESITO SA,3.78,3.78,23,1,2025-03-12,850,3
5017,COMERCIAL FERRETERA SARASARA S A C,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,COMERCIAL FERRETERA SARASARA S.A.C.,0.65,0.65,100,3,2026-02-23,4424,3
5017,ENVIPLAST E I R L,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,ENVIPLAST E.I.R.L.,0.65,0.65,200,5,2026-03-12,2050,1
5017,QUESITO SA,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINAPOTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,QUESITO SA,0.91,0.91,25,1,2025-03-12,850,3
5018,COMERCIAL FERRETERA SARASARA S A C,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,COMERCIAL FERRETERA SARASARA S.A.C.,0.8,0.8,200,1,2025-11-25,4424,3
5018,ENVIPLAST E I R L,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,ENVIPLAST E.I.R.L.,0.799993,0.799999,100,10,2025-09-02,2050,1
5018,ESNA MEDIC INVERSIONES S A C,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,ESNA MEDIC INVERSIONES S.A.C.,0.8,0.8,250,1,2025-09-15,3650,1
5018,INVERSIONES AGO S A C,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,INVERSIONES AGO S.A.C.,0.6,0.6,1000,1,2025-11-19,6084,1
5018,QUESITO SA,FRASCO PET TRANSPARENTE 30ML CON TAPA SPRAY N20FRASCO BULLET 30ML CON TAPA ATOMIZADOR,QUESITO SA,1.12,1.12,25,1,2025-03-12,850,3
5019,ENVIPLAST E I R L,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,ENVIPLAST E.I.R.L.,1.1,1.1,100,1,2025-08-07,2050,1
5019,GENPLAST S A C,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,GENPLAST S.A.C.,0.826,0.826,900,1,2025-04-14,9200,1
5019,INVERSIONES AGO S A C,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,INVERSIONES AGO S.A.C.,0.7,0.7,1000,1,2025-11-19,6084,1
5019,QUESITO SA,FRASCO PET TRANSPARENTE 60ML CON TAPA SPRAY N20FRASCO BULLET 60ML CON TAPA ATOMIZADOR,QUESITO SA,1.54,1.54,19,1,2025-03-12,850,3
5020,COMERCIAL FERRETERA SARASARA S A C,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,0.6,0.6,240,5,2026-02-23,4424,3
5020,ENVIPLAST E I R L,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,ENVIPLAST E.I.R.L.,0.6,0.6,480,12,2026-04-27,2050,1
5020,ESNA MEDIC INVERSIONES S A C,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,ESNA MEDIC INVERSIONES S.A.C.,0.6,0.6,300,1,2025-09-15,3650,1
5020,QUESITO SA,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPAFRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,QUESITO SA,0.84,0.84,15,1,2025-03-12,850,3
5021,ENVIPLAST E I R L,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,ENVIPLAST E.I.R.L.,2.5,2.633333,100,3,2026-03-31,2050,1
5021,ESNA MEDIC INVERSIONES S A C,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,ESNA MEDIC INVERSIONES S.A.C.,2.5,2.5,100,3,2025-11-06,3650,1
5021,QUESITO SA,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPAFRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,QUESITO SA,4.06,4.06,25,1,2025-03-12,850,3
5022,COMERCIAL FERRETERA SARASARA S A C,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,2.8,2.8,25,1,2026-01-30,4424,3
5022,ENVIPLAST E I R L,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,ENVIPLAST E.I.R.L.,2.8,2.8,100,3,2026-03-31,2050,1
5022,ESNA MEDIC INVERSIONES S A C,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,ESNA MEDIC INVERSIONES S.A.C.,2.8,2.8,50,1,2025-10-07,3650,1
5022,QUESITO SA,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPAFRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,QUESITO SA,4.2,4.2,1,1,2025-03-12,850,3
5023,COMERCIAL FERRETERA SARASARA S A C,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18,COMERCIAL FERRETERA SARASARA S.A.C.,0.8,0.8,100,1,2025-12-02,4424,3
5023,ENVIPLAST E I R L,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18,ENVIPLAST E.I.R.L.,0.8,0.8,50,4,2025-08-29,2050,1
5023,QUESITO SA,FRASCO PET TRANSPARENTE ESPUMERO 200ML CON TAPAFRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18,QUESITO SA,4.34,4.34,1,1,2025-03-12,850,3
5024,COMERCIAL FERRETERA SARASARA S A C,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,2.8,2.8,50,1,2026-01-30,4424,3
5024,ENVIPLAST E I R L,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,ENVIPLAST E.I.R.L.,2.8,2.8,100,3,2026-03-07,2050,1
5024,QUESITO SA,FRASCO PET BLANCO ESPUMERO 150ML CON TAPAFRASCO PET BLANCO ESPUMERO 150ML CON TAPA,QUESITO SA,4.2,4.2,1,1,2025-03-12,850,3
5025,COMERCIAL FERRETERA SARASARA S A C,PASTILLERO PLASTICO BLANCO 40GR CON TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,0.62,0.62,500,2,2026-01-28,4424,3
5025,ENVIPLAST E I R L,PASTILLERO PLASTICO BLANCO 40GR CON TAPA,ENVIPLAST E.I.R.L.,0.62,0.62,100,1,2026-03-31,2050,1
5025,ESNA MEDIC INVERSIONES S A C,PASTILLERO PLASTICO BLANCO 40GR CON TAPA,ESNA MEDIC INVERSIONES S.A.C.,0.62,0.62,50,1,2025-10-07,3650,1
5025,QUESITO SA,PASTILLERO PLASTICO BLANCO 40GR CON TAPAPASTILLERO PLASTICO BLANCO 40GR CON TAPA,QUESITO SA,1.12,1.12,1,1,2025-03-12,850,3
5026,COMERCIAL FERRETERA SARASARA S A C,PASTILLERO PLASTICO BLANCO 60GR CON TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,0.68,0.68,100,2,2025-11-25,4424,3
5026,ENVIPLAST E I R L,PASTILLERO PLASTICO BLANCO 60GR CON TAPA,ENVIPLAST E.I.R.L.,0.68,0.68,50,3,2025-08-01,2050,1
5026,QUESITO SA,PASTILLERO PLASTICO BLANCO 60GR CON TAPAPASTILLERO PLASTICO BLANCO 60GR CON TAPA,QUESITO SA,1.26,1.26,1,1,2025-03-12,850,3
5027,COMERCIAL FERRETERA SARASARA S A C,PASTILLERO PLASTICO BLANCO 90GR CON TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,0.72,0.72,100,1,2026-02-23,4424,3
5027,ENVIPLAST E I R L,PASTILLERO PLASTICO BLANCO 90GR CON TAPA,ENVIPLAST E.I.R.L.,0.72,0.72,150,1,2026-03-12,2050,1
5027,QUESITO SA,PASTILLERO PLASTICO BLANCO 90GR CON TAPAPASTILLERO PLASTICO BLANCO 90GR CON TAPA,QUESITO SA,1.26,1.26,1,1,2025-03-12,850,3
5028,ENVIPLAST E I R L,PASTILLERO PLASTICO BLANCO 120GR CON TAPA,ENVIPLAST E.I.R.L.,0.8,0.8,500,3,2025-07-07,2050,1
5028,QUESITO SA,PASTILLERO PLASTICO BLANCO 120GR CON TAPAPASTILLERO PLASTICO BLANCO 120GR CON TAPA,QUESITO SA,1.4,1.4,1,1,2025-03-12,850,3
5029,ENVIPLAST E I R L,PASTILLERO PLASTICO NEGRO 40GR CON TAPA,ENVIPLAST E.I.R.L.,0.62,0.62,25,1,2025-06-11,2050,1
5029,QUESITO SA,PASTILLERO PLASTICO NEGRO 40GR CON TAPAPASTILLERO PLASTICO NEGRO 40GR CON TAPA,QUESITO SA,1.12,1.12,1,1,2025-03-12,850,3
5030,COMERCIAL FERRETERA SARASARA S A C,PASTILLERO PLASTICO NEGRO 60GR CON TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,0.68,0.68,50,1,2026-01-13,4424,3
5030,ENVIPLAST E I R L,PASTILLERO PLASTICO NEGRO 60GR CON TAPA,ENVIPLAST E.I.R.L.,0.68,0.68,25,1,2025-06-11,2050,1
5030,QUESITO SA,PASTILLERO PLASTICO NEGRO 60GR CON TAPAPASTILLERO PLASTICO NEGRO 60GR CON TAPA,QUESITO SA,1.26,1.26,1,1,2025-03-12,850,3
5031,ENVIPLAST E I R L,PASTILLERO PLASTICO NEGRO 90GR CON TAPA,ENVIPLAST E.I.R.L.,0.72,0.72,25,1,2025-05-17,2050,1
5031,QUESITO SA,PASTILLERO PLASTICO NEGRO 90GR CON TAPAPASTILLERO PLASTICO NEGRO 90GR CON TAPA,QUESITO SA,1.26,1.26,1,1,2025-03-12,850,3
5032,ENVIPLAST E I R L,PASTILLERO PLASTICO NEGRO 120GR CON TAPA,ENVIPLAST E.I.R.L.,0.8,0.8,25,1,2025-05-17,2050,1
5032,QUESITO SA,PASTILLERO PLASTICO NEGRO 120GR CON TAPAPASTILLERO PLASTICO NEGRO 120GR CON TAPA,QUESITO SA,1.4,1.4,1,1,2025-03-12,850,3
5033,COMERCIAL FERRETERA SARASARA S A C,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28,COMERCIAL FERRETERA SARASARA S.A.C.,0.37,0.37,50,1,2026-02-03,4424,3
5033,ENVIPLAST E I R L,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28,ENVIPLAST E.I.R.L.,0.369989,0.369997,400,4,2026-04-08,2050,1
5033,QUESITO SA,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28,QUESITO SA,0.84,0.84,1,1,2025-03-12,850,3
5034,COMERCIAL FERRETERA SARASARA S A C,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,COMERCIAL FERRETERA SARASARA S.A.C.,0.33,0.33,100,2,2026-01-28,4424,3
5034,ENVIPLAST E I R L,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,ENVIPLAST E.I.R.L.,0.33,0.414995,250,4,2026-04-16,2050,1
5034,ESNA MEDIC INVERSIONES S A C,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,ESNA MEDIC INVERSIONES S.A.C.,0.33,0.33,300,1,2025-09-23,3650,1
5034,QUESITO SA,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,QUESITO SA,0.84,0.84,1,1,2025-03-12,850,3
5035,ENVIPLAST E I R L,FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA B28MM,ENVIPLAST E.I.R.L.,0.7,0.7,25,1,2025-03-19,2050,1
5035,GENPLAST S A C,FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA B28MM,GENPLAST S.A.C.,0.59,0.59,500,1,2025-04-14,9200,1
5035,QUESITO SA,FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA N28FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA B28MM,QUESITO SA,0.84,0.84,1,1,2025-03-12,850,3
5035,VIPLASTIC S A C,FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA B28MM,VIPLASTIC S.A.C.,0.9,0.9,50,1,2025-11-17,250,2
5036,COMERCIAL FERRETERA SARASARA S A C,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,COMERCIAL FERRETERA SARASARA S.A.C.,0.8,0.8,1000,1,2026-01-30,4424,3
5036,ENVIPLAST E I R L,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,ENVIPLAST E.I.R.L.,0.8,0.833326,200,3,2026-03-04,2050,1
