date,product_id,product_name,supplier,quantity,unit_cost_net,unit_cost_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_adjustment,is_active,analysis_unit_cost,analysis_total,product_name_norm,supplier_norm,source_dataset
2025-04-24,5098,PROBADOR PLASTICO NATURAL FORMA BAJA 5ML CON TAPA ESPRAY,ENVIPLAST E.I.R.L.,50,0.8050847458,0.95,40.2542372881,7.2457627119,47.5,False,False,True,0.95,47.5,PROBADOR PLASTICO NATURAL FORMA BAJA 5ML CON TAPA ESPRAY,ENVIPLAST E I R L,purchases
2025-04-25,5101,POTE VIDRIO AMBAR IMPORTADO 250GR B45 C/TAPA,ENVIPLAST E.I.R.L.,25,2.1186440678,2.5,52.9661016949,9.5338983051,62.5,False,False,True,2.5,62.5,POTE VIDRIO AMBAR IMPORTADO 250GR B45 C TAPA,ENVIPLAST E I R L,purchases
2025-04-25,5099,PROBADOR PLASTICO 5ML ESPRAY COLORES,ENVIPLAST E.I.R.L.,25,1.0169491525,1.2,25.4237288136,4.5762711864,30.0,False,False,True,1.2,30.0,PROBADOR PLASTICO 5ML ESPRAY COLORES,ENVIPLAST E I R L,purchases
2025-04-25,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,25,0.6779661017,0.8,16.9491525424,3.0508474576,20.0,False,False,True,0.8,20.0,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ENVIPLAST E I R L,purchases
2025-04-25,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,ENVIPLAST E.I.R.L.,100,0.6779661017,0.8,67.7966101695,12.2033898305,80.0,False,False,True,0.8,80.0,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,ENVIPLAST E I R L,purchases
2025-04-28,5096,PLACA PETRI DE PLASTICO 90*15,CORPORACION PROMELAB E.I.R.L.,10,0.3389830508,0.4,3.3898305085,0.6101694915,4.0,False,False,True,0.4,4.0,PLACA PETRI DE PLASTICO 90 15,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5108,EMBUDO DE VIDRIO DE BOROSILICATO DE 100MM,CORPORACION PROMELAB E.I.R.L.,1,5.9322033898,7.0,5.9322033898,1.0677966102,7.0,False,False,True,7.0,7.0,EMBUDO DE VIDRIO DE BOROSILICATO DE 100MM,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5109,PINZA DE MADERA PARA TUBO DE ENSAYO,CORPORACION PROMELAB E.I.R.L.,1,2.1186440678,2.5,2.1186440678,0.3813559322,2.5,False,False,True,2.5,2.5,PINZA DE MADERA PARA TUBO DE ENSAYO,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5110,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML - CITOGLAS,CORPORACION PROMELAB E.I.R.L.,1,5.9322033898,7.0,5.9322033898,1.0677966102,7.0,False,False,True,7.0,7.0,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML CITOGLAS,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5111,MECHERO BUNSEN PLOMO,CORPORACION PROMELAB E.I.R.L.,1,38.1355932203,45.0,38.1355932203,6.8644067797,45.0,False,False,True,45.0,45.0,MECHERO BUNSEN PLOMO,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5112,LENTES DE PROTECCION DE MARCO NEGRO,CORPORACION PROMELAB E.I.R.L.,1,2.1186440678,2.5,2.1186440678,0.3813559322,2.5,False,False,True,2.5,2.5,LENTES DE PROTECCION DE MARCO NEGRO,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5113,TERMOMETRO  DIGITAL DE VASTAGO PARA COCINA DE 15CM,CORPORACION PROMELAB E.I.R.L.,1,8.4745762712,10.0,8.4745762712,1.5254237288,10.0,False,False,True,10.0,10.0,TERMOMETRO DIGITAL DE VASTAGO PARA COCINA DE 15CM,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,ENVIPLAST E.I.R.L.,25,0.3050847458,0.36,7.6271186441,1.3728813559,9.0,False,False,True,0.36,9.0,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,ENVIPLAST E I R L,purchases
2025-04-28,5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,ENVIPLAST E.I.R.L.,25,0.9322033898,1.1,23.3050847458,4.1949152542,27.5,False,False,True,1.1,27.5,POTE PLASTICO 1KG B110 BLANCO C TAPA,ENVIPLAST E I R L,purchases
2025-04-28,5020,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,ENVIPLAST E.I.R.L.,25,0.5084745763,0.6,12.7118644068,2.2881355932,15.0,False,False,True,0.6,15.0,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,ENVIPLAST E I R L,purchases
2025-04-28,0001,utiles de oficina,COMERCIAL FERRETERA SARASARA S.A.C.,1,298.1355932203,351.8,298.1355932203,53.6644067797,351.8,False,False,True,351.8,351.8,UTILES DE OFICINA,COMERCIAL FERRETERA SARASARA S A C,purchases
