date,product_id,product_name,customer,quantity,unit_price_net,unit_price_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_cancelled_source,is_adjustment,is_active,analysis_unit_price,analysis_total,product_name_norm,customer_norm,source_dataset
2025-04-11,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,V & J INGENIERIA Y CONSTRUCCION S.A. - V & J I C S.A.,25.0,1.0169491525,1.2,25.4237288136,4.5762711864,30.0,False,NO,False,True,1.2,30.0,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,V J INGENIERIA Y CONSTRUCCION S A V J I C S A,sales
2025-04-14,5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,VARIOS,1.0,2.1186440678,2.5,2.1186440678,0.3813559322,2.5,False,NO,False,True,2.5,2.5,FRASCO PARA RIMEL 5ML 9CM X 1CM CON TAPA,VARIOS,sales
2025-04-14,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,VARIOS,1.0,1.2711864407,1.5,1.2711864407,0.2288135593,1.5,False,NO,False,True,1.5,1.5,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,VARIOS,sales
2025-04-14,5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,VARIOS,2.0,1.3559322034,1.6,2.7118644068,0.4881355932,3.2,False,NO,False,True,1.6,3.2,POTE PLASTICO 1KG B110 BLANCO C TAPA,VARIOS,sales
2025-04-14,5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28,VARIOS,2.0,1.2711864407,1.5,2.5423728814,0.4576271187,3.0000000001,False,NO,False,True,1.5,3.0000000001,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B 28,VARIOS,sales
2025-04-14,5007,TAPA DISPENSADORA BLANCO B28MM,VARIOS,2.0,1.6949152542,2.0,3.3898305084,0.6101694915,3.9999999999,False,NO,False,True,2.0,3.9999999999,TAPA DISPENSADORA BLANCO B28MM,VARIOS,sales
2025-04-14,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,1.0,1.2711864407,1.5,1.2711864407,0.2288135593,1.5,False,NO,False,True,1.5,1.5,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-14,5067,PIPETAS PASTEUR ESTRILES 3ML BX200,VARIOS,2.0,0.4237288136,0.5,0.8474576272,0.1525423729,1.0000000001,False,NO,False,True,0.5,1.0000000001,PIPETAS PASTEUR ESTRILES 3ML BX200,VARIOS,sales
2025-04-14,5066,PISETA 500 ML,VARIOS,1.0,5.9322033898,7.0,5.9322033898,1.0677966102,7.0,False,NO,False,True,7.0,7.0,PISETA 500 ML,VARIOS,sales
2025-04-14,5065,PISETA 250ML,VARIOS,1.0,4.2372881356,5.0,4.2372881356,0.7627118644,5.0,False,NO,False,True,5.0,5.0,PISETA 250ML,VARIOS,sales
